Neighborhood,Building.Classification,Total.Units,Year.Built,Gross.SqFt,Estimated.Gross.Income,Gross.Income.per.SqFt,Estimated.Expense,Expense.per.SqFt,Net.Operating.Income,Full.Market.Value,Market.Value.per.SqFt,Boro
CHELSEA,R4-CONDOMINIUM,71,1989,54355,2293781,42.2,694657,12.78,1599124,12067006,222,Manhattan
CHELSEA,R9-CONDOMINIUM,54,2008,113082,5337470,47.2,1251818,11.07,4085652,30696000,271.45,Manhattan
CHELSEA,R4-CONDOMINIUM,39,1985,37431,1515207,40.48,490720,13.11,1024487,7293015,194.84,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1900,8408,282593,33.61,113340,13.48,169253,1256998,149.5,Manhattan
CHELSEA,R9-CONDOMINIUM,713,1920,616965,27720237,44.93,11234933,18.21,16485304,124062000,201.08,Manhattan
CHELSEA,R4-CONDOMINIUM,79,1912,97500,4294875,44.05,1562925,16.03,2731950,20571999,210.99,Manhattan
CHELSEA,R4-CONDOMINIUM,52,1914,96088,3950178,41.11,826357,8.6,3123821,23590005,245.5,Manhattan
JAVITS CENTER,R4-CONDOMINIUM,52,1915,110799,2998221,27.06,1078074,9.73,1920147,13859998,125.09,Manhattan
CHELSEA,R9-CONDOMINIUM,117,1973,110995,4192281,37.77,1348589,12.15,2843692,21527000,193.95,Manhattan
CHELSEA,R4-CONDOMINIUM,22,1905,37402,1489722,39.83,432741,11.57,1056981,7990000,213.62,Manhattan
CHELSEA,R9-CONDOMINIUM,218,1963,196721,6143597,31.23,1375080,6.99,4768517,35605000,180.99,Manhattan
CHELSEA,R9-CONDOMINIUM,70,1998,66668,2610052,39.15,672013,10.08,1938039,14657000,219.85,Manhattan
CHELSEA,R4-CONDOMINIUM,44,1985,53937,2164492,40.13,537752,9.97,1626740,12294001,227.93,Manhattan
CHELSEA,R9-CONDOMINIUM,221,1931,151785,4480693,29.52,941067,6.2,3539626,26540000,174.85,Manhattan
CHELSEA,R4-CONDOMINIUM,26,1920,30908,1231066,39.83,357606,11.57,873460,6602999,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1911,16083,687066,42.72,155844,9.69,531222,4006999,249.14,Manhattan
CHELSEA,R4-CONDOMINIUM,77,1948,36000,1433880,39.83,416520,11.57,1017360,7689994,213.61,Manhattan
CHELSEA,R4-CONDOMINIUM,14,1910,32450,1398920,43.11,344619,10.62,1054301,7906999,243.67,Manhattan
CHELSEA,R4-CONDOMINIUM,17,2002,15480,617652,39.9,139010,8.98,478642,3618000,233.72,Manhattan
FASHION,R4-CONDOMINIUM,20,1926,31962,1150952,36.01,316424,9.9,834528,6157002,192.64,Manhattan
FASHION,R2-CONDOMINIUM,16,1920,11685,353939,30.29,99089,8.48,254850,1908001,163.29,Manhattan
FASHION,R4-CONDOMINIUM,36,2005,34168,1302484,38.12,366281,10.72,936203,7085000,207.36,Manhattan
CHELSEA,R2-CONDOMINIUM,22,1930,16478,588429,35.71,192957,11.71,395472,2921999,177.33,Manhattan
CHELSEA,R2-CONDOMINIUM,34,1930,19979,713450,35.71,233954,11.71,479496,3543001,177.34,Manhattan
CHELSEA,R4-CONDOMINIUM,16,1985,19718,758946,38.49,166026,8.42,592920,4485999,227.51,Manhattan
CHELSEA,R4-CONDOMINIUM,156,1989,141673,5535164,39.07,2139262,15.1,3395902,25409983,179.36,Manhattan
CHELSEA,R4-CONDOMINIUM,11,1910,62304,2446678,39.27,539553,8.66,1907125,14422000,231.48,Manhattan
CHELSEA,R4-CONDOMINIUM,31,1926,68206,2610926,38.28,774138,11.35,1836788,13900001,203.79,Manhattan
CHELSEA,R4-CONDOMINIUM,32,1907,83519,3239702,38.79,881125,10.55,2358577,10274000,123.01,Manhattan
CHELSEA,R4-CONDOMINIUM,37,2000,63723,2689111,42.2,814380,12.78,1874731,14147000,222.01,Manhattan
CHELSEA,R4-CONDOMINIUM,31,2002,52645,2482738,47.16,536453,10.19,1946285,11990012,227.75,Manhattan
CHELSEA,R4-CONDOMINIUM,69,1939,51717,1990587,38.49,435457,8.42,1555130,10844996,209.7,Manhattan
CHELSEA,R4-CONDOMINIUM,109,1962,99750,3839378,38.49,839895,8.42,2999483,15289997,153.28,Manhattan
CHELSEA,R4-CONDOMINIUM,14,2004,23052,877359,38.06,208160,9.03,669199,5064999,219.72,Manhattan
CHELSEA,R9-CONDOMINIUM,197,1980,117094,4614675,39.41,900453,7.69,3714222,27000000,230.58,Manhattan
CHELSEA,R4-CONDOMINIUM,43,1910,82151,3206354,39.03,789471,9.61,2416883,17850002,217.28,Manhattan
CHELSEA,R4-CONDOMINIUM,12,2002,33378,1271368,38.09,322765,9.67,948603,7178998,215.08,Manhattan
CHELSEA,R4-CONDOMINIUM,19,2006,27784,1025230,36.9,296733,10.68,728497,5363000,193.02,Manhattan
CHELSEA,R4-CONDOMINIUM,20,2004,36967,1462045,39.55,433623,11.73,1028422,7775001,210.32,Manhattan
CHELSEA,R4-CONDOMINIUM,12,1900,44800,1651328,36.86,579712,12.94,1071616,7889998,176.12,Manhattan
CHELSEA,R4-CONDOMINIUM,351,1910,552679,24666064,44.63,5399674,9.77,19266390,145023999,262.4,Manhattan
FASHION,R4-CONDOMINIUM,52,2006,66978,2471488,36.9,715325,10.68,1756163,12928998,193.03,Manhattan
FASHION,R4-CONDOMINIUM,24,1927,52598,1870911,35.57,624338,11.87,1246573,9213001,175.16,Manhattan
FASHION,R4-CONDOMINIUM,29,1986,26864,955552,35.57,318876,11.87,636676,4704995,175.14,Manhattan
CHELSEA,RR-CONDOMINIUM,213,2001,180281,8718389,48.36,2084048,11.56,6634341,46757000,259.36,Manhattan
CHELSEA,RR-CONDOMINIUM,62,2001,97866,3452712,35.28,785864,8.03,2666848,19721000,201.51,Manhattan
CHELSEA,R9-CONDOMINIUM,14,1906,31650,934625,29.53,351793,11.12,582832,4015000,126.86,Manhattan
CHELSEA,R9-CONDOMINIUM,155,1930,138320,4890995,35.36,1712402,12.38,3178593,23500000,169.9,Manhattan
CHELSEA,R4-CONDOMINIUM,35,1900,61572,1930282,31.35,658205,10.69,1272077,9494998,154.21,Manhattan
CHELSEA,R4-CONDOMINIUM,9,1907,19713,757571,38.43,176037,8.93,581534,4122000,209.1,Manhattan
CHELSEA,R4-CONDOMINIUM,51,2001,111514,4214114,37.79,846391,7.59,3367723,25494003,228.62,Manhattan
CHELSEA,R4-CONDOMINIUM,18,1910,54708,2179020,39.83,632972,11.57,1546048,11686998,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,38,2008,70840,3500000,49.41,775000,10.94,2725000,19178001,270.72,Manhattan
CHELSEA,R4-CONDOMINIUM,64,2005,118000,4960000,42.03,1360000,11.53,3600000,25460999,215.77,Manhattan
CHELSEA,R4-CONDOMINIUM,26,2006,45457,1898739,41.77,400476,8.81,1498263,11309001,248.78,Manhattan
CHELSEA,R4-CONDOMINIUM,67,1903,120050,5800816,48.32,1559450,12.99,4241366,31818001,265.04,Manhattan
CHELSEA,R4-CONDOMINIUM,45,1987,31800,1126992,35.44,332628,10.46,794364,5871998,184.65,Manhattan
CHELSEA,R4-CONDOMINIUM,28,1875,41294,1644740,39.83,477772,11.57,1166968,8821002,213.61,Manhattan
CHELSEA,R4-CONDOMINIUM,15,1905,32085,1277946,39.83,371223,11.57,906723,6854000,213.62,Manhattan
CHELSEA,R4-CONDOMINIUM,49,1900,84890,4101885,48.32,1102721,12.99,2999164,20680008,243.61,Manhattan
CHELSEA,R4-CONDOMINIUM,52,2006,77419,3500000,45.21,813000,10.5,2687000,18963992,244.95,Manhattan
CHELSEA,R4-CONDOMINIUM,22,1911,58449,2267237,38.79,616637,10.55,1650600,12487002,213.64,Manhattan
CHELSEA,R4-CONDOMINIUM,6,1913,17234,654375,37.97,183370,10.64,471005,3258000,189.04,Manhattan
CHELSEA,R4-CONDOMINIUM,13,2003,37035,1366592,36.9,395534,10.68,971058,6661653,179.87,Manhattan
CHELSEA,R4-CONDOMINIUM,52,1911,68395,2890373,42.26,802957,11.74,2087416,15751002,230.29,Manhattan
CHELSEA,R4-CONDOMINIUM,120,1973,80000,3648800,45.61,624000,7.8,3024800,22750980,284.39,Manhattan
CHELSEA,R4-CONDOMINIUM,20,1950,28124,938498,33.37,214024,7.61,724474,5381999,191.37,Manhattan
CHELSEA,R4-CONDOMINIUM,33,2006,66937,2795958,41.77,589715,8.81,2206243,16653002,248.79,Manhattan
CHELSEA,R4-CONDOMINIUM,99,2008,112888,4266038,37.79,856820,7.59,3409218,25807998,228.62,Manhattan
CHELSEA,R4-CONDOMINIUM,20,1920,23621,1121289,47.47,292900,12.4,828389,6223001,263.45,Manhattan
CHELSEA,R4-CONDOMINIUM,33,1911,75929,3472233,45.73,981003,12.92,2491230,18736999,246.77,Manhattan
CHELSEA,R4-CONDOMINIUM,10,1913,27100,1254188,46.28,313547,11.57,940641,6639000,244.98,Manhattan
CHELSEA,R4-CONDOMINIUM,203,2006,334205,15674215,46.9,4391454,13.14,11282761,84787998,253.7,Manhattan
CHELSEA,R4-CONDOMINIUM,25,1922,48276,1922833,39.83,558553,11.57,1364280,10313002,213.63,Manhattan
CHELSEA,R4-CONDOMINIUM,24,1911,70181,3121651,44.48,1158688,16.51,1962963,14777002,210.56,Manhattan
CHELSEA,R4-CONDOMINIUM,8,1905,28339,1128742,39.83,327882,11.57,800860,5672000,200.15,Manhattan
CHELSEA,R4-CONDOMINIUM,93,1926,94649,4364265,46.11,1160397,12.26,3203868,24090997,254.53,Manhattan
CHELSEA,R4-CONDOMINIUM,10,1902,16720,714278,42.72,162017,9.69,552261,3898001,233.13,Manhattan
FASHION,R4-CONDOMINIUM,10,1920,14295,495322,34.65,173541,12.14,321781,2386000,166.91,Manhattan
FASHION,R4-CONDOMINIUM,45,1929,120453,5808244,48.22,1724887,14.32,4083357,30635000,254.33,Manhattan
FASHION,RR-CONDOMINIUM,365,2005,341960,15405298,45.05,3843630,11.24,11561668,86741000,253.66,Manhattan
FASHION,R9-CONDOMINIUM,93,2005,75799,3363960,44.38,760000,10.03,2603960,19624000,258.9,Manhattan
FASHION,RR-CONDOMINIUM,337,2008,345294,9744197,28.22,2686387,7.78,7057810,50963000,147.59,Manhattan
FASHION,R4-CONDOMINIUM,89,2004,97349,4123704,42.36,1120487,11.51,3003217,22658993,232.76,Manhattan
FLATIRON,R4-CONDOMINIUM,133,1989,136255,5507427,40.42,1353012,9.93,4154415,31389999,230.38,Manhattan
FLATIRON,R4-CONDOMINIUM,47,2008,66363,2771983,41.77,584658,8.81,2187325,16511002,248.8,Manhattan
FLATIRON,R4-CONDOMINIUM,51,1986,64600,2503250,38.75,661504,10.24,1841746,13933001,215.68,Manhattan
FLATIRON,R4-CONDOMINIUM,15,1910,28804,1284370,44.59,381941,13.26,902429,6793005,235.84,Manhattan
FLATIRON,R4-CONDOMINIUM,17,1961,38359,1498686,39.07,423867,11.05,1074819,8129000,211.92,Manhattan
FLATIRON,R4-CONDOMINIUM,21,1908,69315,3090756,44.59,919117,13.26,2171639,16346998,235.84,Manhattan
FLATIRON,R4-CONDOMINIUM,10,1906,23591,1065370,45.16,308806,13.09,756564,5347000,226.65,Manhattan
FLATIRON,R9-CONDOMINIUM,21,1901,35253,1612120,45.73,455469,12.92,1156651,8250000,234.02,Manhattan
FLATIRON,R4-CONDOMINIUM,7,1900,26461,1207415,45.63,273342,10.33,934073,5147997,194.55,Manhattan
FLATIRON,R4-CONDOMINIUM,57,1906,62219,2903139,46.66,460421,7.4,2442718,18358996,295.07,Manhattan
FLATIRON,R4-CONDOMINIUM,5,1910,11036,518361,46.97,114774,10.4,403587,1980002,179.41,Manhattan
FLATIRON,R4-CONDOMINIUM,67,1906,95000,4344350,45.73,1227400,12.92,3116950,22110014,232.74,Manhattan
FLATIRON,R9-CONDOMINIUM,18,1912,37400,1450372,38.78,384098,10.27,1066274,8066000,215.67,Manhattan
FLATIRON,R4-CONDOMINIUM,13,2007,24091,1060245,44.01,283310,11.76,776935,5851000,242.87,Manhattan
FLATIRON,R4-CONDOMINIUM,11,1910,28333,1322018,46.66,209664,7.4,1112354,8339999,294.36,Manhattan
FLATIRON,R4-CONDOMINIUM,17,1906,41659,1905066,45.73,538234,12.92,1366832,10279999,246.77,Manhattan
FLATIRON,R4-CONDOMINIUM,11,1904,32641,1455462,44.59,432820,13.26,1022642,7698001,235.84,Manhattan
FLATIRON,R4-CONDOMINIUM,11,1910,58439,2637352,45.13,715293,12.24,1922059,14461999,247.47,Manhattan
FLATIRON,R4-CONDOMINIUM,4,1883,9599,343260,35.76,105493,10.99,237767,1652000,172.1,Manhattan
FASHION,RR-CONDOMINIUM,283,2004,243948,9964000,40.84,2685000,11.01,7279000,51555000,211.34,Manhattan
FASHION,RR-CONDOMINIUM,299,2001,211923,10248596,48.36,2449830,11.56,7798766,54694000,258.08,Manhattan
FASHION,RR-CONDOMINIUM,75,1984,48861,612000,12.53,351000,7.18,261000,1562000,31.97,Manhattan
FLATIRON,R9-CONDOMINIUM,153,1961,158565,6623260,41.77,1396958,8.81,5226302,37650000,237.44,Manhattan
FLATIRON,R4-CONDOMINIUM,36,1900,92152,4231620,45.92,1160194,12.59,3071426,23099000,250.66,Manhattan
FLATIRON,R9-CONDOMINIUM,17,1907,46424,1947023,41.94,810099,17.45,1136924,8327000,179.37,Manhattan
FLATIRON,R2-CONDOMINIUM,2,1910,3278,157147,47.94,41008,12.51,116139,821000,250.46,Manhattan
FLATIRON,R4-CONDOMINIUM,3,1910,6202,260112,41.94,108225,17.45,151887,1077000,173.65,Manhattan
FLATIRON,R4-CONDOMINIUM,14,1903,36638,1536598,41.94,639333,17.45,897265,6772000,184.84,Manhattan
FLATIRON,R4-CONDOMINIUM,1,1920,1800,65178,36.21,17928,9.96,47250,328000,182.22,Manhattan
FLATIRON,R4-CONDOMINIUM,22,1910,45692,2062080,45.13,559270,12.24,1502810,11308000,247.48,Manhattan
FLATIRON,R4-CONDOMINIUM,51,2007,84733,3907039,46.11,1038827,12.26,2868212,21567006,254.53,Manhattan
FLATIRON,R4-CONDOMINIUM,2,1907,2850,120954,42.44,38903,13.65,82051,582000,204.21,Manhattan
FLATIRON,R4-CONDOMINIUM,15,1908,29631,1013880,34.22,278880,9.41,735000,5420000,182.92,Manhattan
FLATIRON,R9-CONDOMINIUM,11,1906,21375,896468,41.94,372994,17.45,523474,3951000,184.84,Manhattan
FLATIRON,R4-CONDOMINIUM,109,1913,191318,8727927,45.62,2343646,12.25,6384281,36300053,189.74,Manhattan
FLATIRON,R4-CONDOMINIUM,43,1900,78900,3608097,45.73,1019388,12.92,2588709,19470002,246.77,Manhattan
FLATIRON,R4-CONDOMINIUM,124,1913,138922,6269550,45.13,1700405,12.24,4569145,34380003,247.48,Manhattan
FLATIRON,R4-CONDOMINIUM,259,1986,282900,12436284,43.96,2444256,8.64,9992028,75246997,265.98,Manhattan
FLATIRON,R4-CONDOMINIUM,43,1913,60609,2735284,45.13,741854,12.24,1993430,14999000,247.47,Manhattan
FLATIRON,R4-CONDOMINIUM,423,1985,380448,16724494,43.96,3287071,8.64,13437423,101192989,265.98,Manhattan
FLATIRON,R4-CONDOMINIUM,10,1902,27065,1135106,41.94,472284,17.45,662822,4697997,173.58,Manhattan
FLATIRON,R9-CONDOMINIUM,20,1907,56554,2261029,39.98,644150,11.39,1616879,12220000,216.08,Manhattan
FLATIRON,R4-CONDOMINIUM,78,2008,215976,6545690,30.31,1653840,7.66,4891850,36960998,171.13,Manhattan
FLATIRON,R4-CONDOMINIUM,119,1987,123200,5219984,42.37,1464848,11.89,3755136,28331998,229.97,Manhattan
FLATIRON,R4-CONDOMINIUM,9,1910,26794,985215,36.77,266600,9.95,718615,4973000,185.6,Manhattan
FLATIRON,R4-CONDOMINIUM,190,1910,301945,12702826,42.07,3070781,10.17,9632045,72689001,240.74,Manhattan
FLATIRON,R4-CONDOMINIUM,72,1912,180112,8011382,44.48,2973649,16.51,5037733,37922995,210.55,Manhattan
FLATIRON,R4-CONDOMINIUM,31,1911,61182,2400782,39.24,548191,8.96,1852591,14008998,228.97,Manhattan
MURRAY HILL,R4-CONDOMINIUM,22,1913,42940,1909971,44.48,708939,16.51,1201032,9041002,210.55,Manhattan
MURRAY HILL,R4-CONDOMINIUM,139,2005,238818,10047073,42.07,2428779,10.17,7618294,57491997,240.74,Manhattan
MURRAY HILL,R4-CONDOMINIUM,142,2008,161752,7303103,45.15,2021900,12.5,5281203,39737997,245.67,Manhattan
MURRAY HILL,R4-CONDOMINIUM,40,1922,40299,1522496,37.78,358661,8.9,1163835,8809998,218.62,Manhattan
MURRAY HILL,R4-CONDOMINIUM,18,1920,32085,1212171,37.78,285557,8.9,926614,7013997,218.61,Manhattan
MURRAY HILL,R4-CONDOMINIUM,250,2005,392410,17615285,44.89,4371447,11.14,13243838,99668024,253.99,Manhattan
MURRAY HILL,R9-CONDOMINIUM,169,1938,182166,6038803,33.15,1876310,10.3,4162493,30934000,169.81,Manhattan
MURRAY HILL,R4-CONDOMINIUM,40,1985,86314,3735670,43.28,1116903,12.94,2618767,19731999,228.61,Manhattan
MURRAY HILL,RR-CONDOMINIUM,182,2005,92176,807000,8.75,390000,4.23,417000,2280000,24.74,Manhattan
MURRAY HILL,R4-CONDOMINIUM,67,1912,72464,2877545,39.71,1165946,16.09,1711599,12939008,178.56,Manhattan
MURRAY HILL,R4-CONDOMINIUM,101,1952,87697,3121136,35.59,971683,11.08,2149453,15884007,181.12,Manhattan
MURRAY HILL,R4-CONDOMINIUM,17,1998,30371,1401622,46.15,374171,12.32,1027451,7725000,254.35,Manhattan
MURRAY HILL,R4-CONDOMINIUM,113,1961,88230,3503613,39.71,1419621,16.09,2083992,15754000,178.56,Manhattan
MURRAY HILL,R4-CONDOMINIUM,224,1956,212756,8376204,39.37,2584985,12.15,5791219,43789993,205.82,Manhattan
MURRAY HILL,R4-CONDOMINIUM,172,2003,162488,7336333,45.15,2031100,12.5,5305233,39489994,243.03,Manhattan
MURRAY HILL,R4-CONDOMINIUM,174,1986,134519,5513934,40.99,1536207,11.42,3977727,30042971,223.34,Manhattan
GRAMERCY,R4-CONDOMINIUM,645,1987,575077,25665687,44.63,5618502,9.77,20047185,150901014,262.4,Manhattan
GRAMERCY,R9-CONDOMINIUM,53,1955,40279,1777512,44.13,460792,11.44,1316720,9000000,223.44,Manhattan
GRAMERCY,R4-CONDOMINIUM,24,1913,30260,1284234,42.44,413049,13.65,871185,5422993,179.21,Manhattan
GRAMERCY,R4-CONDOMINIUM,23,1956,8053,341769,42.44,109923,13.65,231846,1528992,189.87,Manhattan
GRAMERCY,R4-CONDOMINIUM,51,1909,61406,2606071,42.44,838192,13.65,1767879,13333001,217.13,Manhattan
GRAMERCY,R4-CONDOMINIUM,95,2004,87310,4408282,50.49,1203132,13.78,3205150,21230013,243.16,Manhattan
GRAMERCY,R4-CONDOMINIUM,11,1920,36270,1242973,34.27,464981,12.82,777992,5575770,153.73,Manhattan
GRAMERCY,R9-CONDOMINIUM,40,1930,22300,834689,37.43,271391,12.17,563298,3432000,153.9,Manhattan
MURRAY HILL,R4-CONDOMINIUM,25,1920,53181,2072464,38.97,684439,12.87,1388025,10499002,197.42,Manhattan
MURRAY HILL,R4-CONDOMINIUM,29,1920,25354,1124450,44.35,316164,12.47,808286,4556654,179.72,Manhattan
MURRAY HILL,R4-CONDOMINIUM,12,2006,23122,1025461,44.35,288331,12.47,737130,5550000,240.03,Manhattan
MURRAY HILL,R4-CONDOMINIUM,52,1984,65112,2600573,39.94,904406,13.89,1696167,12820997,196.91,Manhattan
MURRAY HILL,R4-CONDOMINIUM,53,1987,55715,1948354,34.97,598379,10.74,1349975,9989001,179.29,Manhattan
MURRAY HILL,R4-CONDOMINIUM,71,1988,77154,2863956,37.12,793143,10.28,2070813,15237997,197.5,Manhattan
MURRAY HILL,R4-CONDOMINIUM,15,1920,14000,530040,37.86,142940,10.21,387100,2930000,209.29,Manhattan
MURRAY HILL,R4-CONDOMINIUM,79,1988,71011,3278578,46.17,858523,12.09,2420055,18196001,256.24,Manhattan
MURRAY HILL,R4-CONDOMINIUM,330,1961,270870,10758956,39.72,2987696,11.03,7771260,58748990,216.89,Manhattan
MURRAY HILL,R4-CONDOMINIUM,28,2002,38960,1589568,40.8,463624,11.9,1125944,8505000,218.3,Manhattan
MURRAY HILL,R4-CONDOMINIUM,78,1963,45116,1622823,35.97,485448,10.76,1137375,8392006,186.01,Manhattan
MURRAY HILL,R4-CONDOMINIUM,101,2006,136474,6325570,46.35,1535333,11.25,4790237,36011001,263.87,Manhattan
MURRAY HILL,R4-CONDOMINIUM,109,1924,158571,5581699,35.2,1807709,11.4,3773990,27912001,176.02,Manhattan
MURRAY HILL,R4-CONDOMINIUM,176,1960,128571,4525699,35.2,1465709,11.4,3059990,22630999,176.02,Manhattan
MURRAY HILL,R4-CONDOMINIUM,43,1924,51562,2246041,43.56,765696,14.85,1480345,11151001,216.26,Manhattan
GRAMERCY,R2-CONDOMINIUM,8,1920,10036,290643,28.96,105779,10.54,184864,1386000,138.1,Manhattan
GRAMERCY,R2-CONDOMINIUM,8,1920,8700,251952,28.96,91698,10.54,160254,1201000,138.05,Manhattan
GRAMERCY,R4-CONDOMINIUM,32,1915,51136,2178394,42.6,554314,10.84,1624080,12252001,239.6,Manhattan
GRAMERCY,R4-CONDOMINIUM,127,1901,174042,7280177,41.83,2225997,12.79,5054180,38150999,219.21,Manhattan
GRAMERCY,R4-CONDOMINIUM,13,1948,30116,1148925,38.15,322844,10.72,826081,4785004,158.89,Manhattan
GRAMERCY,R4-CONDOMINIUM,64,1920,81685,3069722,37.58,1052103,12.88,2017619,12539999,153.52,Manhattan
GRAMERCY,R9-CONDOMINIUM,329,1931,321079,11260241,35.07,3156207,9.83,8104034,59950000,186.71,Manhattan
GRAMERCY,R4-CONDOMINIUM,43,1965,29535,981743,33.24,278220,9.42,703523,4543013,153.82,Manhattan
GRAMERCY,RR-CONDOMINIUM,49,2006,60117,2401073,39.94,835025,13.89,1566048,11837000,196.9,Manhattan
MURRAY HILL,R4-CONDOMINIUM,80,2001,79132,3433537,43.39,936923,11.84,2496614,18810001,237.7,Manhattan
MURRAY HILL,R4-CONDOMINIUM,30,1925,41297,1391296,33.69,466656,11.3,924640,6863994,166.21,Manhattan
MURRAY HILL,R4-CONDOMINIUM,25,1983,27950,1049523,37.55,360555,12.9,688968,5064000,181.18,Manhattan
MURRAY HILL,R4-CONDOMINIUM,165,1990,198838,8329324,41.89,2388044,12.01,5941280,44842997,225.53,Manhattan
MURRAY HILL,R4-CONDOMINIUM,191,2007,222784,10468620,46.99,2873914,12.9,7594706,57068992,256.16,Manhattan
MURRAY HILL,R9-CONDOMINIUM,44,1960,23653,847724,35.84,218081,9.22,629643,4651000,196.63,Manhattan
MURRAY HILL,R4-CONDOMINIUM,118,1963,123404,4438842,35.97,1327827,10.76,3111015,22954002,186.01,Manhattan
MURRAY HILL,R4-CONDOMINIUM,234,1988,235948,9081639,38.49,2560036,10.85,6521603,49345997,209.14,Manhattan
KIPS BAY,R4-CONDOMINIUM,9,1910,7335,262886,35.84,67629,9.22,195257,1447999,197.41,Manhattan
KIPS BAY,R4-CONDOMINIUM,15,1910,20425,707726,34.65,247960,12.14,459766,3404001,166.66,Manhattan
KIPS BAY,R9-CONDOMINIUM,98,1905,65393,2346301,35.88,452520,6.92,1893781,13976000,213.72,Manhattan
KIPS BAY,R9-CONDOMINIUM,36,1905,49157,1776042,36.13,425700,8.66,1350342,9960000,202.62,Manhattan
KIPS BAY,R4-CONDOMINIUM,207,2007,233744,11294510,48.32,2940500,12.58,8354010,62671008,268.12,Manhattan
KIPS BAY,R4-CONDOMINIUM,128,1956,125776,4216012,33.52,1255244,9.98,2960768,21986993,174.81,Manhattan
KIPS BAY,R4-CONDOMINIUM,1121,1962,1171064,40158762,34.29,13981299,11.94,26177463,149834719,127.95,Manhattan
KIPS BAY,R4-CONDOMINIUM,205,1961,194733,6527450,33.52,1943435,9.98,4584015,34041006,174.81,Manhattan
KIPS BAY,R4-CONDOMINIUM,818,1986,842317,36623943,43.48,12617909,14.98,24006034,150700011,178.91,Manhattan
KIPS BAY,R4-CONDOMINIUM,118,1984,119395,4595514,38.49,1295436,10.85,3300078,24970015,209.14,Manhattan
KIPS BAY,R9-CONDOMINIUM,586,1967,605018,22470369,37.14,8191944,13.54,14278425,105058000,173.64,Manhattan
KIPS BAY,R4-CONDOMINIUM,485,1984,508026,18207652,35.84,4694160,9.24,13513492,99811929,196.47,Manhattan
KIPS BAY,R4-CONDOMINIUM,411,1989,510770,20119230,39.39,6415271,12.56,13703959,103622004,202.87,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,445,1927,328716,15702763,47.77,4615173,14.04,11087590,83270992,253.32,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,212,1968,223307,8851889,39.64,2465309,11.04,6386580,48284003,216.22,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,50,1982,96492,3438010,35.63,984218,10.2,2453792,18132014,187.91,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,65,1926,74422,2665052,35.81,797060,10.71,1867992,13797999,185.4,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,340,1987,494266,21100216,42.69,6277178,12.7,14823038,111813001,226.22,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,247,1986,399221,16088606,40.3,5860564,14.68,10228042,77286005,193.59,Manhattan
MIDTOWN WEST,R9-CONDOMINIUM,38,1916,43765,1531708,35,488620,11.16,1043088,7721000,176.42,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,33,1923,32796,1248216,38.06,290245,8.85,957971,6870000,209.48,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,35,1922,88288,3167773,35.88,1063870,12.05,2103903,15526997,175.87,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,103,1926,121921,4852456,39.8,1515478,12.43,3336978,23760039,194.88,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,183,1930,187345,8857672,47.28,2718376,14.51,6139296,46124996,246.2,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,420,1930,340000,14314000,42.1,3804600,11.19,10509400,73480085,216.12,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,79,1950,78236,2941674,37.6,1006115,12.86,1935559,14225999,181.83,Manhattan
MIDTOWN WEST,R9-CONDOMINIUM,34,1912,35328,1128376,31.94,374830,10.61,753546,5618000,159.02,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,80,1918,87821,3302070,37.6,1129378,12.86,2172692,15969000,181.84,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,218,2006,293691,12390823,42.19,3882595,13.22,8508228,64203002,218.61,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,137,2005,165323,7641229,46.22,2264925,13.7,5376304,40422990,244.51,Manhattan
MIDTOWN WEST,R9-CONDOMINIUM,129,1916,128513,4148400,32.28,1222159,9.51,2926241,21786000,169.52,Manhattan
MIDTOWN WEST,RR-CONDOMINIUM,90,2003,73690,3532000,47.93,662000,8.98,2870000,20241000,274.68,Manhattan
MIDTOWN WEST,RR-CONDOMINIUM,304,2003,268626,12708696,47.31,3322904,12.37,9385792,66195000,246.42,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,108,2002,210177,9943474,47.31,2599889,12.37,7343585,55094999,262.14,Manhattan
MIDTOWN WEST,RR-CONDOMINIUM,484,1987,538783,21314000,39.56,8111000,15.05,13203000,93512000,173.56,Manhattan
MIDTOWN WEST,R4-CONDOMINIUM,528,2004,604403,26750877,44.26,6618213,10.95,20132664,151578964,250.79,Manhattan
